planet,Study_area,win_start,n_months,truth_trend_cmyr
pilot_uniform_depletion_v2,Upper Gangetic Plain (Indo-Gangetic Plain),2016,100,-0.07813526985864512
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2002,114,-0.00606391248512644
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2003,113,-0.014179988472632849
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2004,111,-0.4637268724563584
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2005,109,-0.7300910432840586
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2006,105,-1.0694975010702887
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2007,101,-1.0472257264308613
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2008,92,-1.279588009863587
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2009,88,-1.7307228966712693
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2010,88,-2.1317796162710185
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2011,89,-2.2229148169631348
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2012,91,-1.6945300177299452
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2013,94,-1.435363651625792
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2014,97,-1.5000978879063096
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2015,99,-1.3606397367036929
pilot_uniform_depletion_v2,Stampriet Kalahari Karoo Aquifer System,2016,100,-1.181442951692568
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2002,114,-1.3309352396429146
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2003,113,-1.461053589453237
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2004,111,-1.537037315950656
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2005,109,-1.41493287409173
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2006,105,-1.1947748083086243
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2007,101,-1.0167844439878935
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2008,92,-0.8481209734415176
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2009,88,-0.6560417571848367
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2010,88,-0.5622980381957249
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2011,89,-0.5798407074434246
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2012,91,-0.6524073220966028
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2013,94,-0.7214389627036625
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2014,97,-0.6870113405753754
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2015,99,-0.721173412517366
pilot_uniform_depletion_v2,Northcentral Mega Aquifer System (Mega Aquifer System),2016,100,-0.8065523723622949
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2002,114,-0.705346113795438
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2003,113,-1.218915890266806
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2004,111,-1.0684445108562965
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2005,109,-0.7471796927892678
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2006,105,-0.8582233809483605
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2007,101,-1.174488765869974
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2008,92,-1.139423438420453
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2009,88,-0.7203661151019705
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2010,88,0.2187945819467594
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2011,89,0.11063148823969304
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2012,91,-0.054258366679489176
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2013,94,-0.9389409035107559
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2014,97,-1.4139628592561917
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2015,99,-1.8763119862388422
pilot_uniform_depletion_v2,Ozark Plateaus Aquifer System,2016,100,-1.8210646441000677
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2002,114,-0.8598862114107738
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2003,113,-0.8507591943091869
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2004,111,-1.0106859103179326
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2005,109,-1.2026570104608991
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2006,105,-1.3980649810174246
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2007,101,-1.3787071743635138
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2008,92,-1.4425488485917444
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2009,88,-1.4348553878408792
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2010,88,-1.4777209433388434
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2011,89,-1.5024156194201415
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2012,91,-1.3062058685273432
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2013,94,-0.9928708148381725
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2014,97,-0.8193323049597556
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2015,99,-0.7060002355908577
pilot_uniform_depletion_v2,Western Karoo Basin (Main Karoo Basin),2016,100,-0.5143906273194033
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2002,114,-1.174456694103315
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2003,113,-1.1936520977901655
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2004,111,-0.9919854909003958
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2005,109,-0.8955548546233488
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2006,105,-1.192176028026093
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2007,101,-1.2356621366721618
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2008,92,-1.3413513656501963
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2009,88,-1.4221165741094377
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2010,88,-1.2237158210938035
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2011,89,-0.9240983748911301
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2012,91,-0.4454081163241696
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2013,94,-0.34156854743015147
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2014,97,-0.37881856604367503
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2015,99,-0.3306243938075092
pilot_uniform_depletion_v2,Middle Gangetic Plain (Indo-Gangetic Plain),2016,100,-0.2561148435470191
pilot_uniform_depletion_v2,Northern Mega Aquifer System (Mega Aquifer System),2002,114,-1.4269872941875295
pilot_uniform_depletion_v2,Northern Mega Aquifer System (Mega Aquifer System),2003,113,-1.5829637867121744
pilot_uniform_depletion_v2,Northern Mega Aquifer System (Mega Aquifer System),2004,111,-1.5704406012562675
pilot_uniform_depletion_v2,Northern Mega Aquifer System (Mega Aquifer System),2005,109,-1.3488676516915716
pilot_uniform_depletion_v2,Northern Mega Aquifer System (Mega Aquifer System),2006,105,-1.0939798441521593
pilot_uniform_depletion_v2,Northern Mega Aquifer System (Mega Aquifer System),2007,101,-0.7903221339300861
