Study_area,term,term_type,frac,ax1,ax2,tier
Antlers Aquifer,c30_treatment,main,1.7371810177364e-05,c30_treatment,,tier2
Antlers Aquifer,geocenter,main,0.0880561352401898,geocenter,,tier2
Antlers Aquifer,centre x truncation,interaction,0.000495253509148879,centre,truncation,tier2
Antlers Aquifer,centre x filter,interaction,0.00574682210092812,centre,filter,tier2
Antlers Aquifer,centre x gia_model,interaction,3.44182916709068e-12,centre,gia_model,tier2
Antlers Aquifer,centre x c20_treatment,interaction,6.54593183927333e-06,centre,c20_treatment,tier2
Antlers Aquifer,centre x c30_treatment,interaction,1.01683705565395e-06,centre,c30_treatment,tier2
Antlers Aquifer,centre x geocenter,interaction,8.86386563699042e-07,centre,geocenter,tier2
Antlers Aquifer,truncation x filter,interaction,0.00117484316311158,truncation,filter,tier2
Antlers Aquifer,truncation x gia_model,interaction,7.0272253027318e-14,truncation,gia_model,tier2
Antlers Aquifer,truncation x c20_treatment,interaction,4.88710461102325e-08,truncation,c20_treatment,tier2
Antlers Aquifer,truncation x c30_treatment,interaction,3.08027952346208e-08,truncation,c30_treatment,tier2
Antlers Aquifer,truncation x geocenter,interaction,6.04850445789397e-07,truncation,geocenter,tier2
Antlers Aquifer,filter x gia_model,interaction,-4.64994230122865e-16,filter,gia_model,tier2
Antlers Aquifer,filter x c20_treatment,interaction,5.51126762656437e-10,filter,c20_treatment,tier2
Antlers Aquifer,filter x c30_treatment,interaction,1.88886562099964e-09,filter,c30_treatment,tier2
Antlers Aquifer,filter x geocenter,interaction,2.68193643670097e-07,filter,geocenter,tier2
Antlers Aquifer,gia_model x c20_treatment,interaction,-7.89931795122588e-16,gia_model,c20_treatment,tier2
Antlers Aquifer,gia_model x c30_treatment,interaction,-8.67890842111647e-16,gia_model,c30_treatment,tier2
Antlers Aquifer,gia_model x geocenter,interaction,-6.3936706641894e-16,gia_model,geocenter,tier2
Antlers Aquifer,c20_treatment x c30_treatment,interaction,-9.25929977890532e-19,c20_treatment,c30_treatment,tier2
Antlers Aquifer,c20_treatment x geocenter,interaction,5.81242787653582e-17,c20_treatment,geocenter,tier2
Antlers Aquifer,c30_treatment x geocenter,interaction,7.26553484566977e-17,c30_treatment,geocenter,tier2
Antlers Aquifer,higher-order,residual,0.000295046037844905,,,tier2
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),centre,main,0.0645437795850017,centre,,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),truncation,main,0.00383035698219913,truncation,,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),filter,main,0.114515487328731,filter,,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),gia_model,main,0.0454736615778633,gia_model,,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),c20_treatment,main,0.00328027599690278,c20_treatment,,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),c30_treatment,main,0.000163440027019572,c30_treatment,,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),geocenter,main,0.734758989450305,geocenter,,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),centre x truncation,interaction,0.00554983106548689,centre,truncation,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),centre x filter,interaction,0.0208724938391797,centre,filter,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),centre x gia_model,interaction,4.36381407199398e-13,centre,gia_model,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),centre x c20_treatment,interaction,0.00106889752003134,centre,c20_treatment,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),centre x c30_treatment,interaction,9.56675693193402e-06,centre,c30_treatment,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),centre x geocenter,interaction,7.65984374469236e-06,centre,geocenter,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),truncation x filter,interaction,0.00135952263841716,truncation,filter,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),truncation x gia_model,interaction,9.32032718474706e-15,truncation,gia_model,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),truncation x c20_treatment,interaction,7.98025571738874e-06,truncation,c20_treatment,tier1
Arckaringa Basin and Southwestern Great Artesian Basin (Great Artesian Basin),truncation x c30_treatment,interaction,2.89803277256573e-07,truncation,c30_treatment,tier1
