Study_area,dominance_R,abs_GRACE_trend,area_km2,lon,lat,n_wells,trend_m_yr,continent,trend_cat,anchor,tier,resolution_ratio,ai_mean,climate_zone,abs_trend_m_yr
Eastern Flatwoods Southshores (Floridan Aquifer System),2.10944095408943,0.177526023485895,25461,-80.7959214809107,27.4846671834939,171,-0.01,N America,stable,other (new),tier2,0.231463636363636,0.779443383714678,humid,0.01
Lower Limestone Coast Aquifer System (Murray Basin),16.2382598176331,0.0149978709197235,25446,140.555337768542,-36.2939785584725,699,0.03,Oceania,stable,other (new),tier2,0.231327272727273,0.33894570557989,semi-arid,0.03
Eastern Malwa Plateau (Malwa Plateau),6.64411701899668,0.172831264048394,25218,77.9504649815065,24.0774044868059,80,0,S Asia,stable,other (new),tier2,0.229254545454545,0.599721246239261,dry sub-humid,0
Southern St. Lawrence Lowlands (St. Lawrence Lowlands),1.4221684423905,0.471262766566302,24965,-74.5561177595782,45.1676311007323,91,0.01,N America,stable,other (new),tier2,0.226954545454545,1.2086015768885,humid,0.01
Southern Paris Basin (Paris Basin),1.2306525630186,0.23110938410948,24635,1.33407702264348,46.9525869833488,116,0.01,Europe,stable,other (new),tier2,0.223954545454545,0.848341055795425,humid,0.01
Westside Middle Indus Plain (Indus Basin),1.48330580735885,0.70920159828949,24478,70.5285526034966,30.6722062382195,113,-0.01,S Asia,stable,other (new),tier2,0.222527272727273,0.138345693628559,arid,0.01
Northcentral Piedmont Upland (Piedmont Plateau),7.41320480807801,0.0653204552739777,24072,-77.4634457546899,38.8846083351498,76,0,N America,stable,other (new),tier2,0.218836363636364,0.997524433270364,humid,0
Osage Plains (Osage Cuestas Aquifer System),3.79005524740342,0.119925156275778,23975,-95.667798975005,38.1103350375935,2,0.07,N America,stable,other (new),tier2,0.217954545454545,0.718752016583935,humid,0.07
Eastern Pilbara Granite-Greenstone Terrane (Pilbara Craton),0.765237543476573,0.345303163548573,23972,119.9182144712,-21.204156987986,1,0.03,Oceania,stable,other (new),tier2,0.217927272727273,0.126337150754271,arid,0.03
Malwa Plateau Gneiss Complex (Malwa Plateau),0.341223602385186,0.782644090626832,23958,74.5456496892515,25.448292578583,60,-0.23,S Asia,shallowing,other (new),tier2,0.2178,0.301408757144241,semi-arid,0.23
Bluffton Till Plain (Central Lowland Till Plain),10.3695151691975,0.0485579722949124,23952,-84.3620673378574,40.633380017686,26,0,N America,stable,other (new),tier2,0.217745454545455,0.950236961080698,humid,0
Vidalia Upland (Floridan Aquifer System),1.85740161312437,0.225020350967296,23831,-82.4299467148116,32.424170345073,55,0.08,N America,stable,other (new),tier2,0.216645454545455,0.873274683236608,humid,0.08
Northern Paris Basin (Paris Basin),2.17339691206175,0.13578728862914,23814,1.981203072937,49.9154054396397,116,0.03,Europe,stable,other (new),tier2,0.216490909090909,1.00173124563446,humid,0.03
Southern Valley and Ridge (Valley and Ridge Aquifer System),3.02414116498132,0.127984026630049,23782,-85.7519700988538,34.1262934866053,11,-0.05,N America,stable,other (new),tier2,0.2162,1.22225966527197,humid,0.05
Barind Tract and Central Floodplains (Bengal Basin),0.420887199304087,0.693839733110039,23481,88.9652664501132,24.731469847608,135,0.13,S Asia,deepening,other (new),tier2,0.213463636363636,1.1696524560822,humid,0.13
Northeastern Judith River (Bearpaw-Judith River Aquifer System),48.4427397371741,0.00957119180174459,23407,-106.790223488569,51.1623278301495,6,-0.07,N America,stable,other (new),tier2,0.212790909090909,0.399821485637758,semi-arid,0.07
Great Plains Dakota Aquifer,2.39318009257165,0.21237511289403,23221,-98.3961783059925,38.9273995968245,31,0.06,N America,stable,other (new),tier2,0.2111,0.456765727604961,semi-arid,0.06
Western Armorican Massif (Armorican Massif),4.17852545169844,0.0766621163897959,23180,-3.13017380720671,48.1859683077454,42,0.01,Europe,stable,other (new),tier2,0.210727272727273,1.2767256980057,humid,0.01
Southeastern Allegheny Plateau (Appalachian Plateaus),4.24500352604604,0.104611267048652,23152,-81.7771449153815,37.7807477537274,6,0,N America,stable,other (new),tier2,0.210472727272727,1.18327259687308,humid,0
Western Riverine Plains (Murray Basin),1.23687804744724,0.190141030442266,23144,143.981407592927,-34.1779829970079,144,0.03,Oceania,stable,other (new),tier2,0.2104,0.183782726464002,arid,0.03
Southern Deccan Basalt Plateau (Deccan Plateau),0.368695473751629,0.528419070444905,23112,74.8613277322488,16.8149517894165,78,0.17,S Asia,deepening,other (new),tier2,0.210109090909091,0.46256083303793,semi-arid,0.17
Eastern Vindhyan Basin,14.5074356456009,0.0362608391480634,23103,80.2992178724879,24.2049918859355,84,-0.06,S Asia,stable,other (new),tier2,0.210027272727273,0.670775020300447,humid,0.06
Catahoula Area (Gulf Coast Regional Aquifer System),1.89907484736905,0.180408254262433,23047,-89.3205891887572,31.2167386986011,36,-0.09,N America,stable,other (new),tier2,0.209518181818182,1.21858036612544,humid,0.09
