centre,recipe_idx_per_centre,truncation,filter,gia_model,c20_treatment,c30_treatment,geocenter,spearman_rho_raw,n_aquifers,skill_score,abs_score,global_rank
JPL,581,96,DDK7,none,original,replaced,GravIS,-0.601991543832164,31,0.601991543832164,0.601991543832164,146
GFZ,260,60,DDK7,none,original,replaced,none,-0.601991543832164,31,0.601991543832164,0.601991543832164,147
GFZ,262,60,DDK7,none,original,original,none,-0.601991543832164,31,0.601991543832164,0.601991543832164,148
CSR,1,60,G300,none,replaced,replaced,GravIS,-0.600168554634825,31,0.600168554634825,0.600168554634825,149
CSR,3,60,G300,none,replaced,original,GravIS,-0.600168554634825,31,0.600168554634825,0.600168554634825,150
CSR,633,96,DDK8,Peltier_ICE6G_D,replaced,replaced,GravIS,-0.599763445924306,31,0.599763445924306,0.599763445924306,151
GFZ,584,96,DDK7,Geruo_ICE5G_VM2,replaced,replaced,none,-0.599155782858526,31,0.599155782858526,0.599155782858526,152
GFZ,586,96,DDK7,Geruo_ICE5G_VM2,replaced,original,none,-0.599155782858526,31,0.599155782858526,0.599155782858526,153
JPL,297,60,DDK8,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-0.597940456726967,31,0.597940456726967,0.597940456726967,154
CSR,635,96,DDK8,Peltier_ICE6G_D,replaced,original,GravIS,-0.597737902371708,31,0.597737902371708,0.597737902371708,155
JPL,299,60,DDK8,Geruo_ICE5G_VM2,replaced,original,GravIS,-0.597737902371708,31,0.597737902371708,0.597737902371708,156
GFZ,297,60,DDK8,Geruo_ICE5G_VM2,replaced,replaced,GravIS,-0.597535348016448,31,0.597535348016448,0.597535348016448,157
GFZ,299,60,DDK8,Geruo_ICE5G_VM2,replaced,original,GravIS,-0.597535348016448,31,0.597535348016448,0.597535348016448,158
JPL,303,60,DDK8,Geruo_ICE5G_VM2,original,original,GravIS,-0.596320021884889,31,0.596320021884889,0.596320021884889,159
CSR,601,96,DDK7,Peltier_ICE6G_D,replaced,replaced,GravIS,-0.594294478332291,31,0.594294478332291,0.594294478332291,160
CSR,603,96,DDK7,Peltier_ICE6G_D,replaced,original,GravIS,-0.594294478332291,31,0.594294478332291,0.594294478332291,161
JPL,583,96,DDK7,none,original,original,GravIS,-0.594294478332291,31,0.594294478332291,0.594294478332291,162
